"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","82461","0.0-0.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","91204","0.0-1.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","7714","{""Q0"":""A33FA1VLSTBM74""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","94223","0.0-2.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","2004","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","107257","0.0-3.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","12019","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","118572","0.0-4.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","11307","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","133702","0.0-6.0-0.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","15082","","","","2","4","1","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican party","","","","","","","",""
"","identification","6","144179","0.0-6.0-1.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","9441","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","text-replacement","7","151419","0.0-7.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","6234","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","159181","0.0-8.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","7753","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","172623","0.0-9.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","13432","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","178477","0.0-10.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","5847","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","183467","0.0-11.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","4984","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","187130","0.0-12.0-0.0","90762284","wem/bandit_party_1","A33FA1VLSTBM74","either","2","2137","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
