"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index","view_history"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","9281","0.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","15462","0.0-1.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","5175","{""Q0"":""A3QAHF4UUBM7ZO""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","21770","0.0-2.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","5303","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","31651","0.0-3.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","8876","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","34021","0.0-4.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","2368","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","40259","0.0-6.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","6227","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican party","","","","","","","","",""
"","identification","6","54849","0.0-6.0-1.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","13578","","","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","","",""
"","text-replacement","7","62449","0.0-7.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","6597","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","64273","0.0-8.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1822","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","64618","0.0-9.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","342","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","65179","0.0-10.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","559","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","65344","0.0-11.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","162","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","71719","0.0-12.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","4865","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","bandit","13","73945","0.0-13.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","719","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","14","76707","0.0-14.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","2760","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","15","78048","0.0-15.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1339","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","78257","0.0-16.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","207","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","78511","0.0-17.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","252","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","18","81458","0.0-18.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1442","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","19","84210","0.0-18.0-1.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1243","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","20","85844","0.0-18.0-2.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","126","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","21","87853","0.0-18.0-3.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","503","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","22","90910","0.0-18.0-4.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1548","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","23","92945","0.0-18.0-5.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","528","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","24","94770","0.0-18.0-6.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","320","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","25","97349","0.0-18.0-7.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1071","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","26","99343","0.0-18.0-8.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","488","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","27","101421","0.0-18.0-9.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","571","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","28","102973","0.0-18.0-10.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","46","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","29","104947","0.0-18.0-11.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","468","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","30","106478","0.0-18.0-12.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","26","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","31","108520","0.0-18.0-13.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","535","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","32","110259","0.0-18.0-14.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","233","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","33","111822","0.0-18.0-15.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","58","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","34","113390","0.0-18.0-16.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","60","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","35","115212","0.0-18.0-17.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","315","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","36","116847","0.0-18.0-18.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","129","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","37","118719","0.0-18.0-19.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","365","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","text-replacement","38","125347","0.0-19.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","6626","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","39","127651","0.0-20.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","795","","","","","","","1","0","0","1","0","","","","","0","1","","","1","0","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","40","131353","0.0-21.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","3700","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","41","133197","0.0-22.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1842","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","42","134480","0.0-23.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1282","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","43","136073","0.0-24.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1590","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","44","138018","0.0-25.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1942","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","45","140177","0.0-26.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","2158","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","46","142868","0.0-27.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","2688","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","47","146512","0.0-28.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","3642","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","48","147105","0.0-29.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","590","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","49","148099","0.0-30.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","992","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","50","149284","0.0-31.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1181","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","51","152006","0.0-32.0-0.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1216","","","","","","","0","0","1","0.6","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","","","75","K","2","","true","0","full_practice","",""
"","bandit","52","153573","0.0-32.0-1.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","59","","","","","","","0","1","0","","0.8","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice","",""
"","bandit","53","155081","0.0-32.0-2.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","1","","","","","","","0","0","1","0.2","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","","","74","J","1","","true","0","full_practice","",""
"","bandit","54","156852","0.0-32.0-3.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","262","","","","","","","0","0","1","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","","","76","L","3","","true","0","full_practice","",""
"","bandit","55","158921","0.0-32.0-4.0","94384072","wem/bandit_party_1","A3QAHF4UUBM7ZO","either","8","561","","","","","","","0","0","1","","0.8","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice","",""
