"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","17914","0.0-0.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","26655","0.0-1.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","7731","{""Q0"":""A110JBKYAC0WAW""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","30193","0.0-2.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","2531","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","44554","0.0-3.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","13353","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","60995","0.0-4.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","16438","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","71690","0.0-6.0-0.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","10669","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican party","","","","","","","",""
"","identification","6","86373","0.0-6.0-1.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","13663","","","","4","5","4","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","text-replacement","7","98326","0.0-7.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","10950","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","105178","0.0-8.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","6849","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","114084","0.0-9.0","21196139","wem/bandit_party_1","A110JBKYAC0WAW","either","3","8901","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
