"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","10556","0.0-0.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","14377","0.0-1.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","2815","{""Q0"":""A2ZPOBTBAVDO0S""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","18486","0.0-2.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","3106","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","35341","0.0-3.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","15853","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","46403","0.0-4.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","11060","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","5","56444","0.0-5.0-0.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","10040","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","6","69216","0.0-6.0-0.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","12765","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican party","","","","","","","",""
"","identification","7","74995","0.0-6.0-1.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","4771","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","text-replacement","8","82071","0.0-7.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","6072","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","91886","0.0-8.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","9814","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","100632","0.0-9.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","8744","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","103917","0.0-10.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","3284","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","12","109587","0.0-11.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","5670","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","13","114813","0.0-12.0-0.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","3720","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","bandit","14","116888","0.0-13.0-0.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","571","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","",""
"","text-replacement","15","122054","0.0-14.0","46637071","wem/bandit_party_1","A2ZPOBTBAVDO0S","either","3","5164","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
