"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index","view_history"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","9395","0.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","11829","0.0-1.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","1406","{""Q0"":""A19WWXPWT25JD0""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","14625","0.0-2.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","1790","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","22656","0.0-3.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","7023","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","28034","0.0-4.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","5374","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","36211","0.0-6.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","8143","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican party","","","","","","","","",""
"","identification","6","41482","0.0-6.0-1.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","4242","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","","",""
"","text-replacement","7","49331","0.0-7.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","6846","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","52841","0.0-8.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","3506","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","55986","0.0-9.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","3140","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","59020","0.0-10.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","3030","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","60043","0.0-11.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","1021","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","63988","0.0-12.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","2428","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","bandit","13","66482","0.0-13.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","981","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","14","68009","0.0-14.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","1524","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","15","68800","0.0-15.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","789","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","72731","0.0-16.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","3928","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","76865","0.0-17.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","4131","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","18","79337","0.0-18.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","961","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","19","81690","0.0-18.0-1.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","843","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","20","83601","0.0-18.0-2.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","400","","","","","","","1","0","0","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","21","85644","0.0-18.0-3.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","532","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","22","87562","0.0-18.0-4.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","404","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","23","89400","0.0-18.0-5.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","329","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","24","91274","0.0-18.0-6.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","362","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","25","93505","0.0-18.0-7.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","720","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","26","95595","0.0-18.0-8.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","581","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","27","97510","0.0-18.0-9.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","401","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","28","99443","0.0-18.0-10.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","421","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","29","101282","0.0-18.0-11.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","325","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","30","103120","0.0-18.0-12.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","326","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","31","104954","0.0-18.0-13.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","324","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","32","106859","0.0-18.0-14.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","392","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","33","108732","0.0-18.0-15.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","362","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","34","110746","0.0-18.0-16.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","502","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","35","112587","0.0-18.0-17.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","332","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","36","114652","0.0-18.0-18.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","551","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","37","116258","0.0-18.0-19.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","92","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","text-replacement","38","121296","0.0-19.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","5034","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","39","125610","0.0-20.0-0.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","2805","","","","","","","1","0","0","1","0","","","","","0","1","","","1","0","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","40","133234","0.0-21.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","7620","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","41","140073","0.0-22.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","6833","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","42","143200","0.0-23.0","07220096","wem/bandit_party_1","A19WWXPWT25JD0","either","4","3123","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
