"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","expt_phase","target","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"3383","{""Q0"":""A1WR6M74EOTJNY""}","survey-text","0","3392","0.0-0.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4896","","text","1","9294","0.0-1.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4569","","text","2","13865","0.0-2.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10872","","text","3","24739","0.0-3.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9389","","text","4","34131","0.0-4.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15885","","text","5","50019","0.0-5.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5899","","text","6","55921","0.0-6.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3477","","text","7","59401","0.0-7.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7249","","identification","8","66672","0.0-8.0-0.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","identification_pre","the village of Zur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3697","","identification","9","71391","0.0-8.0-1.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","identification_pre","the village of Nyx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2896","","text","10","75292","0.0-9.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3778","","text","11","79074","0.0-10.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3333","","text","12","82409","0.0-11.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4896","","text","13","87307","0.0-12.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1394","","bandit","14","90222","0.0-13.0-0.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"1283","","bandit","15","93018","0.0-14.0-0.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"3332","","text","16","96353","0.0-15.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8181","","text","17","104538","0.0-16.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3860","","text","18","108402","0.0-17.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6302","","text","19","114706","0.0-18.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1003","","bandit","20","117219","0.0-19.0-0.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"318","","bandit","21","119051","0.0-19.0-1.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"345","","bandit","22","120906","0.0-19.0-2.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"304","","bandit","23","122721","0.0-19.0-3.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"386","","bandit","24","124619","0.0-19.0-4.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"352","","bandit","25","126480","0.0-19.0-5.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"317","","bandit","26","128305","0.0-19.0-6.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"317","","bandit","27","130130","0.0-19.0-7.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"424","","bandit","28","132065","0.0-19.0-8.0","69535736","wem/bandit_either","A1WR6M74EOTJNY","either","4","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
