"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","expt_phase","target","like","value","connected","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","GainOverPainPr_0","LosePr_1","GainOverPainPr_1","WinPr_1","WinPr_2","GainOverPainPr_2","WinPr_3","GainOverPainPr_3","LosePr_2","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"1730","{""Q0"":""A3IS28VQS5T5DE""}","survey-text","0","1739","0.0-0.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15314","","text","1","18058","0.0-1.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6923","","text","2","24983","0.0-2.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18966","","text","3","43952","0.0-3.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34976","","text","4","78931","0.0-4.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22431","","text","5","101381","0.0-5.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11446","","text","6","112840","0.0-6.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6219","","text","7","119087","0.0-7.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7287","","identification","8","126490","0.0-8.0-0.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","identification_pre","the village of Zur","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5920","","identification","9","133442","0.0-8.0-1.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","identification_pre","the village of Nyx","3","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9059","","text","10","143525","0.0-9.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4105","","text","11","147635","0.0-10.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2482","","text","12","150118","0.0-11.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5301","","text","13","155471","0.0-12.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2358","","bandit","14","159367","0.0-13.0-0.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","","","","","",""
"2538","","bandit","15","163417","0.0-14.0-0.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","","","","","",""
"9450","","text","16","172869","0.0-15.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9661","","text","17","182531","0.0-16.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6479","","text","18","189012","0.0-17.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3325","","text","19","192339","0.0-18.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1309","","bandit","20","195163","0.0-19.0-0.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","74","J","0","img/none_selected_demo.jpg","0","1","0","","0.8","true","0","","0.8","80_20_practice","0.5","0.2","0.5","","","","","","","","","","","","",""
"404","","bandit","21","197077","0.0-19.0-1.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","74","J","0","img/none_selected_demo.jpg","0","1","0","","0.8","true","0","","0.8","80_20_practice","0.5","0.2","0.5","","","","","","","","","","","","",""
"305","","bandit","22","198893","0.0-19.0-2.0","77071692","wem/bandit_either","A3IS28VQS5T5DE","either","6","","","","","","","75","K","1","","0","0","1","","0.2","true","0","","0.8","80_20_practice","0.5","0.2","0.5","","","","","","","","","","","","",""
