"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","expt_phase","target","like","value","connected","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","GainOverPainPr_0","LosePr_1","GainOverPainPr_1","WinPr_1","WinPr_2","GainOverPainPr_2","WinPr_3","GainOverPainPr_3","LosePr_2","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"4608","{""Q0"":""A1RJ2LORL5PJHS""}","survey-text","0","4617","0.0-0.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19609","","text","1","25229","0.0-1.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9213","","text","2","34444","0.0-2.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39741","","text","3","74186","0.0-3.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20560","","text","4","94748","0.0-4.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16542","","text","5","111291","0.0-5.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8207","","text","6","119499","0.0-6.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8287","","text","7","127787","0.0-7.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18863","","identification","8","146671","0.0-8.0-0.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","","identification_pre","the village of Zur","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8620","","identification","9","156322","0.0-8.0-1.0","91251041","wem/bandit_either","A1RJ2LORL5PJHS","either","5","","identification_pre","the village of Nyx","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
