"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","expt_phase","target","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"3451","{""Q0"":""A1IOJ2LGMGISYM""}","survey-text","0","3457","0.0-0.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9003","","text","1","13464","0.0-1.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4532","","text","2","17998","0.0-2.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14102","","text","3","32102","0.0-3.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8782","","text","4","40885","0.0-4.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9255","","text","5","50142","0.0-5.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4814","","text","6","54958","0.0-6.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2094","","text","7","57054","0.0-7.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8987","","identification","8","66067","0.0-8.0-0.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","identification_pre","the village of Zur","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4963","","identification","9","72049","0.0-8.0-1.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","identification_pre","the village of Nyx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3971","","text","10","77022","0.0-9.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2470","","text","11","79494","0.0-10.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","text","12","80974","0.0-11.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3429","","text","13","84405","0.0-12.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3117","","bandit","14","89030","0.0-13.0-0.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"2174","","bandit","15","92710","0.0-14.0-0.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"2119","","text","16","94830","0.0-15.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22934","","text","17","117765","0.0-16.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6712","","text","18","124480","0.0-17.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1317","","text","19","125798","0.0-18.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"806","","bandit","20","128110","0.0-19.0-0.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"1035","","bandit","21","130652","0.0-19.0-1.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"703","","bandit","22","132860","0.0-19.0-2.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"288","","bandit","23","134654","0.0-19.0-3.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"172","","bandit","24","136333","0.0-19.0-4.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"359","","bandit","25","138196","0.0-19.0-5.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"310","","bandit","26","140015","0.0-19.0-6.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","75","K","1","","true","0","80_20_practice"
"412","","bandit","27","141932","0.0-19.0-7.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"359","","bandit","28","143796","0.0-19.0-8.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"318","","bandit","29","145621","0.0-19.0-9.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"287","","bandit","30","147413","0.0-19.0-10.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"374","","bandit","31","149294","0.0-19.0-11.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"301","","bandit","32","151101","0.0-19.0-12.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"263","","bandit","33","152869","0.0-19.0-13.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"990","","bandit","34","155365","0.0-19.0-14.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","75","K","1","","true","0","80_20_practice"
"350","","bandit","35","157221","0.0-19.0-15.0","00392341","wem/bandit_either","A1IOJ2LGMGISYM","either","2","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
