"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","expt_phase","target","like","value","connected","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","GainOverPainPr_0","LosePr_1","GainOverPainPr_1","WinPr_1","WinPr_2","GainOverPainPr_2","WinPr_3","GainOverPainPr_3","LosePr_2","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"5020","{""Q0"":""A1DWDCD4CHM68O""}","survey-text","0","5025","0.0-0.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6046","","text","1","12074","0.0-1.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6692","","text","2","18767","0.0-2.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12659","","text","3","31427","0.0-3.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9533","","text","4","40962","0.0-4.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14274","","text","5","55236","0.0-5.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7540","","text","6","62777","0.0-6.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4013","","text","7","66792","0.0-7.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5697","","identification","8","72502","0.0-8.0-0.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","","identification_pre","the village of Zur","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2343","","identification","9","75853","0.0-8.0-1.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","","identification_pre","the village of Nyx","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3578","","text","10","80433","0.0-9.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4574","","text","11","85008","0.0-10.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1681","","text","12","86690","0.0-11.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4781","","text","13","91472","0.0-12.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2037","","bandit","14","95014","0.0-13.0-0.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","","","","","","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","","","","","",""
"2316","","bandit","15","98833","0.0-14.0-0.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","","","","","","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","","","","","",""
"4443","","text","16","103277","0.0-15.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8112","","text","17","111390","0.0-16.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4274","","text","18","115665","0.0-17.0","03357283","wem/bandit_either","A1DWDCD4CHM68O","either","2","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
