"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift1","drift2","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","26037","0.0-0.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","28688","0.0-1.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","1645","{""Q0"":""A33KIELSFIQ02Q""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","45962","0.0-2.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","16271","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","54778","0.0-3.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","8814","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","83096","0.0-4.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","28317","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","101144","0.0-5.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","18046","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","122588","0.0-6.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","21443","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","135100","0.0-7.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","12512","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","8","146033","0.0-8.0-0.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","10915","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","9","153233","0.0-8.0-1.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","6189","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","10","162847","0.0-9.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","8612","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","11","169052","0.0-10.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","6204","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","173049","0.0-11.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","3994","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","175343","0.0-12.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","2293","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","179736","0.0-13.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","4391","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","184197","0.0-14.0-0.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","2954","","","","","","","1","0","0","1","0","","","","","0","","","","1","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","187105","0.0-15.0-0.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","1399","","","","","","","0","1","0","0","1","","","","","1","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","194123","0.0-16.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","7016","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","205717","0.0-17.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","11593","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","212419","0.0-18.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","6701","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","216266","0.0-19.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","3845","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","218841","0.0-20.0-0.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","1067","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","22","220817","0.0-20.0-1.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","470","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","23","222539","0.0-20.0-2.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","214","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","24","224542","0.0-20.0-3.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","496","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","25","226455","0.0-20.0-4.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","405","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","26","228235","0.0-20.0-5.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","275","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","27","230121","0.0-20.0-6.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","380","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","28","232079","0.0-20.0-7.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","434","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","29","233987","0.0-20.0-8.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","368","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","30","237470","0.0-20.0-9.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","1971","","","","","","","1","0","0","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","31","240334","0.0-20.0-10.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","1351","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","32","242124","0.0-20.0-11.0","68171804","wem/bandit_double","A33KIELSFIQ02Q","both","8","1","268","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
