"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift1","drift2","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","11422","0.0-0.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","19610","0.0-1.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","7159","{""Q0"":""A3E3OELJKHW58C""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","29686","0.0-2.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","9066","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","36343","0.0-3.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","6651","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","58240","0.0-4.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","21893","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","83290","0.0-5.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","25045","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","100066","0.0-6.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","16764","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","106966","0.0-7.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","6890","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","8","120606","0.0-8.0-0.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","13594","","","","3","5","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","9","130455","0.0-8.0-1.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","8798","","","","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","10","136380","0.0-9.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","4896","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","11","139559","0.0-10.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","3162","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","144979","0.0-11.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","5411","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","147434","0.0-12.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","2446","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","151640","0.0-13.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","4193","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","155018","0.0-14.0-0.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","1818","","","","","","","1","0","0","1","0","","","","","0","","","","1","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","157845","0.0-15.0-0.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","1287","","","","","","","0","1","0","0","1","","","","","1","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","167654","0.0-16.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","9800","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","177501","0.0-17.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","9840","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","185401","0.0-18.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","7894","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","191823","0.0-19.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","6415","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","194324","0.0-20.0-0.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","967","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","22","196493","0.0-20.0-1.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","650","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","23","198530","0.0-20.0-2.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","515","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","24","200732","0.0-20.0-3.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","654","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","25","202797","0.0-20.0-4.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","521","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","26","204770","0.0-20.0-5.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","406","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","27","206927","0.0-20.0-6.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","618","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","28","208990","0.0-20.0-7.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","511","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","29","210936","0.0-20.0-8.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","391","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","30","212957","0.0-20.0-9.0","24477510","wem/bandit_double","A3E3OELJKHW58C","both","8","1","485","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
