"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift1","drift2","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","10879","0.0-0.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","13879","0.0-1.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","1990","{""Q0"":""AJR127W5XWDQM""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","18502","0.0-2.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","3618","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","22317","0.0-3.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","3813","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","47543","0.0-4.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","25224","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","54542","0.0-5.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","6998","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","71016","0.0-6.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","16472","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","75455","0.0-7.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","4437","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","8","79700","0.0-8.0-0.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","4228","","","","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","9","86070","0.0-8.0-1.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","5356","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","10","90817","0.0-9.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","3743","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","11","94760","0.0-10.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","3942","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","96480","0.0-11.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","1718","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","99008","0.0-12.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","2526","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","104584","0.0-13.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","5575","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","107666","0.0-14.0-0.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","1572","","","","","","","1","0","0","1","0","","","","","0","","","","1","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","109426","0.0-15.0-0.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","251","","","","","","","0","1","0","0","1","","","","","1","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","115345","0.0-16.0","84601922","wem/bandit_double","AJR127W5XWDQM","both","4","5","5917","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
