"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift1","drift2","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","29960","0.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","38495","0.0-1.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","7530","{""Q0"":""A2OO4PG3LBLP5I""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","57805","0.0-2.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","18307","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","68396","0.0-3.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","10591","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","106143","0.0-4.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","37745","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","135146","0.0-5.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","29002","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","172747","0.0-6.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","37599","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","180483","0.0-7.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","7735","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","8","207353","0.0-8.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","26854","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","9","224606","0.0-8.0-1.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","16241","","","","1","3","1","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","10","233091","0.0-9.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","7484","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","11","237698","0.0-10.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","4606","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","241498","0.0-11.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3799","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","244499","0.0-12.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3000","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","248914","0.0-13.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","4413","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","253754","0.0-14.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3332","","","","","","","1","0","0","1","0","","","","","0","","","","1","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","257017","0.0-15.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1757","","","","","","","0","1","0","0","1","","","","","1","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","265290","0.0-16.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","8271","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","275443","0.0-17.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","10152","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","365643","0.0-18.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","90198","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","369162","0.0-19.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3518","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","372614","0.0-20.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1949","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","22","375720","0.0-20.0-1.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1601","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","23","380027","0.0-20.0-2.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","2799","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","24","382102","0.0-20.0-3.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","573","","","","","","","1","0","0","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","25","384666","0.0-20.0-4.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1058","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","26","386400","0.0-20.0-5.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","229","","","","","","","0","0","1","0.2","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","27","388194","0.0-20.0-6.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","279","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","28","390266","0.0-20.0-7.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","565","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","29","392370","0.0-20.0-8.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","597","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","30","394778","0.0-20.0-9.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","902","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","31","396672","0.0-20.0-10.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","390","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","32","398854","0.0-20.0-11.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","679","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","33","401256","0.0-20.0-12.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","895","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","34","403087","0.0-20.0-13.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","327","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","35","405049","0.0-20.0-14.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","457","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","36","407613","0.0-20.0-15.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1062","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","37","410559","0.0-20.0-16.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1442","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","38","412901","0.0-20.0-17.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","831","","","","","","","0","0","1","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","39","415026","0.0-20.0-18.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","609","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","40","417113","0.0-20.0-19.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","581","","","","","","","1","0","0","0.8","0","","","","","0","0","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","text","41","420473","0.0-21.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3359","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","42","423096","0.0-22.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1118","","","","","","","1","0","0","1","0","","","","","0","1","","","1","0","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","text","43","456154","0.0-23.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","33057","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","44","460449","0.0-24.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","4294","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","45","463362","0.0-25.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","2911","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","46","472956","0.0-26.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","9591","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","47","475923","0.0-27.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","2966","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","48","485500","0.0-28.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","9575","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","49","492098","0.0-29.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","6596","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","50","499434","0.0-30.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","7333","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","51","501731","0.0-31.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","2296","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","52","504930","0.0-32.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","3198","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","53","506506","0.0-33.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1574","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","54","508394","0.0-34.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1886","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","55","512344","0.0-35.0-0.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","2445","","","","","","","0","1","0","0.2","0.2","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","74","J","1","","true","0","full_practice"
"","bandit","56","514346","0.0-35.0-1.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","497","","","","","","","1","1","0","0.6","0.6","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","57","516169","0.0-35.0-2.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","318","","","","","","","0","0","1","0.6","0.6","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","58","518058","0.0-35.0-3.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","383","","","","","","","1","1","0","0.6","0.6","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","59","521153","0.0-35.0-4.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","1590","","","","","","","1","1","0","0.8","0.8","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","60","523320","0.0-35.0-5.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","663","","","","","","","1","1","0","0.8","0.8","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","61","525289","0.0-35.0-6.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","465","","","","","","","1","1","0","0.8","0.8","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","62","527336","0.0-35.0-7.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","542","","","","","","","1","1","0","0.2","0.2","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","63","529298","0.0-35.0-8.0","48346240","wem/bandit_double","A2OO4PG3LBLP5I","both","7","2","455","","","","","","","0","0","1","0.2","0.2","","","","","0.8","0.2","0.6","0.2","0.8","0.2","0.6","0.2","","","","","","","","76","L","3","","true","0","full_practice"
