"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift1","drift2","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","13285","0.0-0.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","19374","0.0-1.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","5079","{""Q0"":""AE608VRXK6M2E""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","26136","0.0-2.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","5757","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","33131","0.0-3.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","6993","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","55235","0.0-4.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","22101","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","99833","0.0-5.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","44597","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","120543","0.0-6.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","20705","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","125840","0.0-7.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","5290","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","8","139575","0.0-8.0-0.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","13707","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","9","146629","0.0-8.0-1.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","6024","","","","1","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","10","156098","0.0-9.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","8463","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","11","157689","0.0-10.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","1588","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","161601","0.0-11.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","3911","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","163323","0.0-12.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","1719","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","168432","0.0-13.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","5107","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","173084","0.0-14.0-0.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","3140","","","","","","","1","0","0","1","0","","","","","0","","","","1","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","176419","0.0-15.0-0.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","1825","","","","","","","0","1","0","0","1","","","","","1","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","179007","0.0-16.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","2587","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","188953","0.0-17.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","9944","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","196431","0.0-18.0","13614112","wem/bandit_double","AE608VRXK6M2E","both","6","3","7476","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
