"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","WinPr_1","LosePr_1","WinPr_2","LosePr_2","WinPr_3","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"3868","{""Q0"":""A3L4RJUHA0CJEA""}","survey-text","0","3895","0.0-0.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3184","","text","1","8084","0.0-1.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4278","","text","2","12375","0.0-2.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42869","","text","3","55263","0.0-3.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19966","","text","4","75244","0.0-4.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9391","","text","5","84648","0.0-5.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10407","","text","6","95072","0.0-6.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11196","","text","7","106282","0.0-7.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6072","","text","8","112363","0.0-8.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2042","","text","9","114410","0.0-9.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3097","","text","10","117513","0.0-10.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5441","","text","11","122959","0.0-11.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1537","","bandit","12","126055","0.0-12.0-0.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"731","","bandit","13","128580","0.0-13.0-0.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"2580","","text","14","131416","0.0-14.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1253","","text","15","132673","0.0-15.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4233","","text","16","136911","0.0-16.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3480","","text","17","140400","0.0-17.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2034","","bandit","18","143978","0.0-18.0-0.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"1200","","bandit","19","146986","0.0-18.0-1.0","09041851","wem/bandit_single","A3L4RJUHA0CJEA","pain","3","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
