"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","WinPr_1","LosePr_1","WinPr_2","LosePr_2","WinPr_3","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"40888","{""Q0"":""A85ATJSDTIARY""}","survey-text","0","40898","0.0-0.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3934","","text","1","45843","0.0-1.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6812","","text","2","52657","0.0-2.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18008","","text","3","70668","0.0-3.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17156","","text","4","87826","0.0-4.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9402","","text","5","97231","0.0-5.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10433","","text","6","107667","0.0-6.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3226","","text","7","110895","0.0-7.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3390","","text","8","114287","0.0-8.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3206","","text","9","117495","0.0-9.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5455","","text","10","122952","0.0-10.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4661","","text","11","127614","0.0-11.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"991","","bandit","12","130112","0.0-12.0-0.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"744","","bandit","13","132617","0.0-13.0-0.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"1978","","text","14","134850","0.0-14.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1761","","text","15","136615","0.0-15.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3622","","text","16","140239","0.0-16.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3517","","text","17","143760","0.0-17.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"675","","bandit","18","145943","0.0-18.0-0.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"178","","bandit","19","147882","0.0-18.0-1.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","75","K","1","","0","0","1","0","0.2","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"245","","bandit","20","149885","0.0-18.0-2.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","75","K","1","","0","0","1","0","0.2","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"851","","bandit","21","152494","0.0-18.0-3.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"18","","bandit","22","154270","0.0-18.0-4.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"729","","bandit","23","156758","0.0-18.0-5.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"4","","bandit","24","158521","0.0-18.0-6.0","55990867","wem/bandit_single","A85ATJSDTIARY","pain","2","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
