"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","WinPr_1","LosePr_1","WinPr_2","LosePr_2","WinPr_3","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"3239","{""Q0"":""A2EI075XZT9Y2S""}","survey-text","0","3253","0.0-0.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1856","","text","1","6117","0.0-1.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4619","","text","2","10739","0.0-2.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22350","","text","3","33092","0.0-3.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17039","","text","4","50133","0.0-4.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8459","","text","5","58595","0.0-5.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7153","","text","6","65751","0.0-6.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4681","","text","7","70435","0.0-7.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3964","","text","8","74402","0.0-8.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3330","","text","9","77735","0.0-9.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3913","","text","10","81650","0.0-10.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2911","","text","11","84563","0.0-11.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1419","","bandit","12","87493","0.0-12.0-0.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"511","","bandit","13","89762","0.0-13.0-0.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"2498","","text","14","92515","0.0-14.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2701","","text","15","95220","0.0-15.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2668","","text","16","97891","0.0-16.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2112","","text","17","100007","0.0-17.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3557","","bandit","18","105073","0.0-18.0-0.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"190","","bandit","19","107026","0.0-18.0-1.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","75","K","1","","0","0","1","0.2","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"15","","bandit","20","108802","0.0-18.0-2.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","0","0","1","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"369","","bandit","21","110932","0.0-18.0-3.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","75","K","1","","0","0","1","0.2","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"1","","bandit","22","112695","0.0-18.0-4.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"557","","bandit","23","115014","0.0-18.0-5.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"60","","bandit","24","116834","0.0-18.0-6.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"258","","bandit","25","118851","0.0-18.0-7.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"207","","bandit","26","120817","0.0-18.0-8.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"820","","bandit","27","123395","0.0-18.0-9.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
"78","","bandit","28","125234","0.0-18.0-10.0","25746364","wem/bandit_single","A2EI075XZT9Y2S","gain","5","","74","J","0","img/none_selected_demo.jpg","1","0","0","0.8","0","true","0","0.8","0","80_20_practice","0.2","0","","","","","","","","","",""
