"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","WinPr_1","LosePr_1","WinPr_2","LosePr_2","WinPr_3","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"18630","{""Q0"":""A2ZRF4I5RTKN7G""}","survey-text","0","18664","0.0-0.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2589","","text","1","22266","0.0-1.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3236","","text","2","25512","0.0-2.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47333","","text","3","72865","0.0-3.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39602","","text","4","112491","0.0-4.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","","text","5","112533","0.0-5.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19108","","text","6","131654","0.0-6.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2517","","text","7","134178","0.0-7.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4155","","text","8","138343","0.0-8.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","","text","9","140237","0.0-9.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49597","","text","10","189850","0.0-10.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"851","","text","11","190732","0.0-11.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"840","","bandit","12","193113","0.0-12.0-0.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"491","","bandit","13","195384","0.0-13.0-0.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","75","K","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
"1260","","text","14","196901","0.0-14.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"856","","text","15","197765","0.0-15.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1372","","text","16","199146","0.0-16.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1752","","text","17","200904","0.0-17.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"960","","bandit","18","203387","0.0-18.0-0.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"560","","bandit","19","205849","0.0-18.0-1.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"574","","bandit","20","208251","0.0-18.0-2.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"253","","bandit","21","210393","0.0-18.0-3.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"32","","bandit","22","212198","0.0-18.0-4.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","75","K","1","","0","1","0","0","0.2","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"652","","bandit","23","214682","0.0-18.0-5.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"819","","bandit","24","217302","0.0-18.0-6.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","75","K","1","","0","0","1","0","0.2","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"77","","bandit","25","219183","0.0-18.0-7.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"113","","bandit","26","221344","0.0-18.0-8.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"609","","bandit","27","223734","0.0-18.0-9.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"789","","bandit","28","226324","0.0-18.0-10.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"4430","","bandit","29","232546","0.0-18.0-11.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"3891","","bandit","30","238216","0.0-18.0-12.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"203","","bandit","31","240194","0.0-18.0-13.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","75","K","1","","0","0","1","0","0.2","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"91","","bandit","32","242062","0.0-18.0-14.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"224","","bandit","33","244152","0.0-18.0-15.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"326","","bandit","34","246310","0.0-18.0-16.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"951","","bandit","35","249039","0.0-18.0-17.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"403","","bandit","36","251218","0.0-18.0-18.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"15339","","bandit","37","268333","0.0-18.0-19.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","1","0","0","0.8","true","0","0","0.8","80_20_practice","0","0.2","","","","","","","","","",""
"2702","","text","38","271300","0.0-19.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","","bandit","39","274337","0.0-20.0-0.0","70143722","wem/bandit_single","A2ZRF4I5RTKN7G","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","0","0","","","","","","","","","",""
