"rt","responses","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","key_press","respCharCode","respKey","respChoiceNum","respChoice","gems","bombs","no_reward","GemPrChosen","BombPrChosen","practice","trial_counter","WinPr_0","LosePr_0","trial_label","WinPr_1","LosePr_1","WinPr_2","LosePr_2","WinPr_3","LosePr_3","Q0","Q1","Q2","gender","age","ethnicity"
"6274","{""Q0"":""A1NJZH7D5RLEBH""}","survey-text","0","6282","0.0-0.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1617","","text","1","8916","0.0-1.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3604","","text","2","12523","0.0-2.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5518","","text","3","18044","0.0-3.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1205","","text","4","19251","0.0-4.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3206","","text","5","22459","0.0-5.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2165","","text","6","24628","0.0-6.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2782","","text","7","27412","0.0-7.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1449","","text","8","28863","0.0-8.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"667","","text","9","29532","0.0-9.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2240","","text","10","31775","0.0-10.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3674","","text","11","35453","0.0-11.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","32","","","","","","","","","","","","","","","","","","","","","","","","","",""
"743","","bandit","12","37727","0.0-12.0-0.0","49266897","wem/bandit_single","A1NJZH7D5RLEBH","pain","7","","74","J","0","img/none_selected_demo.jpg","0","0","1","0","0","true","0","0","0","","","","","","","","","","","","",""
