"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","6347","0.0-0.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","10357","0.0-1.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","2992","{""Q0"":""A1QTFE8FVK3HMG""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","12662","0.0-2.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","1295","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","18257","0.0-3.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","4588","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","22022","0.0-4.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","3762","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","28137","0.0-6.0-0.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","6085","","","","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","identification","6","31315","0.0-6.0-1.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","2148","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","text-replacement","7","35934","0.0-7.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","3615","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","39473","0.0-8.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","3534","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","44728","0.0-9.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","5253","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","46883","0.0-10.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","2152","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","52261","0.0-11.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","5376","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","55009","0.0-12.0-0.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","1233","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","bandit","13","57621","0.0-13.0-0.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","1103","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","",""
"","text-replacement","14","59930","0.0-14.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","2306","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","15","66822","0.0-15.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","6889","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","70206","0.0-16.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","3381","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","75582","0.0-17.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","5373","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","18","77707","0.0-18.0-0.0","95382750","wem/bandit_party_2","A1QTFE8FVK3HMG","either","4","617","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
