"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","23692","0.0-0.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","30086","0.0-1.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","5340","{""Q0"":""A2QYTNTTER3YDI""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","33639","0.0-2.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","2525","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","45654","0.0-3.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","10995","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","66632","0.0-4.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","20962","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","5","118422","0.0-5.0-0.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","51773","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","6","136429","0.0-6.0-0.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","17863","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","identification","7","143113","0.0-6.0-1.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","5531","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","text-replacement","8","156562","0.0-7.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","12433","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","164682","0.0-8.0","86433628","wem/bandit_party_2","A2QYTNTTER3YDI","either","1","8101","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
