"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","22172","0.0-0.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","32161","0.0-1.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","8962","{""Q0"":""AS1QMPXIT1EGX""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","35025","0.0-2.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","1850","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","46370","0.0-3.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","10337","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","59507","0.0-4.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","13133","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","69373","0.0-6.0-0.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","9824","","","","1","2","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","identification","6","76242","0.0-6.0-1.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","5812","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","text-replacement","7","81778","0.0-7.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","4532","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","94828","0.0-8.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","13046","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","104461","0.0-9.0","81819307","wem/bandit_party_2","AS1QMPXIT1EGX","either","8","9627","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
