"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","15706","0.0-0.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","23448","0.0-1.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","6728","{""Q0"":""AKQWJ8Y1TMHX0""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","27220","0.0-2.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","2757","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","44115","0.0-3.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","15881","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","52546","0.0-4.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","8429","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","59496","0.0-6.0-0.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","6923","","","","5","4","4","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","identification","6","66703","0.0-6.0-1.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","6180","","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","text-replacement","7","76046","0.0-7.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","8333","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","85479","0.0-8.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","9426","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","95483","0.0-9.0","68571403","wem/bandit_party_2","AKQWJ8Y1TMHX0","either","8","10002","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
