"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index","view_history"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","8285","0.0-0.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","15572","0.0-1.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","6278","{""Q0"":""A3OC3VQF3CZ5T0""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","18381","0.0-2.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","1805","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","28541","0.0-3.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","9157","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","36588","0.0-4.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","8045","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","45228","0.0-6.0-0.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","8626","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","","",""
"","identification","6","49543","0.0-6.0-1.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","3300","","","","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","","",""
"","text-replacement","7","63732","0.0-7.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","13185","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","75948","0.0-8.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","12214","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","84103","0.0-9.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","8152","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","89306","0.0-10.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","5201","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","93210","0.0-11.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","3902","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","101373","0.0-12.0-0.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","6654","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","bandit","13","103722","0.0-13.0-0.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","843","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","14","111852","0.0-14.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","8129","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","15","117864","0.0-15.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","6010","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","125206","0.0-16.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","7341","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","132432","0.0-17.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","7224","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","18","134921","0.0-18.0-0.0","95155418","wem/bandit_party_2","A3OC3VQF3CZ5T0","either","2","983","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
