"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index","view_history"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","9753","0.0-0.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","13181","0.0-1.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","2393","{""Q0"":""A3NHJPE6326P9V""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","16304","0.0-2.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","2115","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","31430","0.0-3.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","14116","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","39503","0.0-4.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","8070","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","45777","0.0-6.0-0.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","6232","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","","",""
"","identification","6","51872","0.0-6.0-1.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","5070","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","","",""
"","text-replacement","7","85400","0.0-7.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","32524","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","88879","0.0-8.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","3477","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","104561","0.0-9.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","15679","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","109174","0.0-10.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","4611","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","112686","0.0-11.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","3511","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","12","118301","0.0-12.0-0.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","4102","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","","",""
"","bandit","13","120899","0.0-13.0-0.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","1085","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","","",""
"","text-replacement","14","124720","0.0-14.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","3818","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","15","134265","0.0-15.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","9541","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","151983","0.0-16.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","17716","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","174183","0.0-17.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","22198","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","18","177982","0.0-18.0-0.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","2294","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","19","182568","0.0-18.0-1.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","3075","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","20","184606","0.0-18.0-2.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","532","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","21","186416","0.0-18.0-3.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","303","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","22","188215","0.0-18.0-4.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","293","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","23","189980","0.0-18.0-5.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","253","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","24","195698","0.0-18.0-6.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","4207","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","25","197555","0.0-18.0-7.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","344","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
"","bandit","26","199553","0.0-18.0-8.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","485","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice","",""
"","bandit","27","201369","0.0-18.0-9.0","05614684","wem/bandit_party_2","A3NHJPE6326P9V","either","2","299","","","","","","","1","0","0","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","","","75","K","1","","true","0","80_20_practice","",""
