"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","7998","0.0-0.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","19463","0.0-1.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","10456","{""Q0"":""A6M6N01KBYGVM""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","22948","0.0-2.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","2480","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","39948","0.0-3.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","15994","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","48881","0.0-4.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","8931","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","65244","0.0-6.0-0.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","16351","","","","4","6","4","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","identification","6","70891","0.0-6.0-1.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","4634","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","text-replacement","7","83392","0.0-7.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","11497","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","89744","0.0-8.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","6350","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","98161","0.0-9.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","8415","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","101480","0.0-10.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","3317","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","110065","0.0-11.0","06005721","wem/bandit_party_2","A6M6N01KBYGVM","either","7","8584","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
