"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","17210","0.0-0.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","24203","0.0-1.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","5962","{""Q0"":""A11K9A2YRWQ4TU""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","28310","0.0-2.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","3072","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","35380","0.0-3.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","6049","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","47770","0.0-4.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","12379","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","5","55092","0.0-5.0-0.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","7312","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","6","64891","0.0-6.0-0.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","9720","","","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","",""
"","identification","7","75818","0.0-6.0-1.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","9859","","","","1","1","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","",""
"","text-replacement","8","83250","0.0-7.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","6418","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","89122","0.0-8.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","5868","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","10","93906","0.0-9.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","4779","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","11","97377","0.0-10.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","3467","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","12","100849","0.0-11.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","3465","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","13","105152","0.0-12.0-0.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","2764","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","bandit","14","108469","0.0-13.0-0.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","1784","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","",""
"","text-replacement","15","117601","0.0-14.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","9127","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","16","124001","0.0-15.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","6393","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","17","127457","0.0-16.0","82719350","wem/bandit_party_2","A11K9A2YRWQ4TU","either","1","3449","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
