"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","button_pressed","key_press","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","label","expt_phase","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","Q0_index","view_history"
"GDM/GDM_behavioral_consent_30min_online.html","consent","0","7933","0.0-0.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","12529","0.0-1.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","3579","{""Q0"":""A3BSE5PUEKPTRU""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","button-response","2","15513","0.0-2.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","1975","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","3","31707","0.0-3.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","15175","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","4","38050","0.0-4.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","6340","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","5","48111","0.0-6.0-0.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","10028","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Republican Party","","","","","","","","",""
"","identification","6","58181","0.0-6.0-1.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","9040","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","pre","identification_pre","the Democratic Party","","","","","","","","",""
"","text-replacement","7","66032","0.0-7.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","6847","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","8","71682","0.0-8.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","5645","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text-replacement","9","79678","0.0-9.0","88519589","wem/bandit_party_2","A3BSE5PUEKPTRU","either","6","7991","","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
