"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","74394","0.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","82642","0.0-1.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","7242","{""Q0"":""A331EA4IU21KXL""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","93040","0.0-2.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","9386","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","103632","0.0-3.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","10592","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","127640","0.0-4.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","24008","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","150979","0.0-5.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","23328","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","170659","0.0-6.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","19679","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","180098","0.0-7.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","9436","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","186578","0.0-8.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","6479","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","215368","0.0-9.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","28769","","","","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","10","220788","0.0-9.0-1.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","4404","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","11","227363","0.0-10.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","5573","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","229921","0.0-11.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","2555","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","234802","0.0-12.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","4879","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","242449","0.0-13.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","7645","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","249425","0.0-14.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","5467","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","253727","0.0-15.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","2796","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","266578","0.0-16.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","12849","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","278228","0.0-17.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","11644","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","287376","0.0-18.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","9147","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","291635","0.0-19.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","4257","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","295327","0.0-20.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","2187","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","22","297246","0.0-20.0-1.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","414","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","23","299166","0.0-20.0-2.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","416","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","24","300926","0.0-20.0-3.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","255","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","25","303038","0.0-20.0-4.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","608","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","26","304815","0.0-20.0-5.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","272","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","27","306704","0.0-20.0-6.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","382","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","28","308652","0.0-20.0-7.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","444","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","29","310463","0.0-20.0-8.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","303","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","30","312303","0.0-20.0-9.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","334","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","31","314125","0.0-20.0-10.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","317","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","32","315965","0.0-20.0-11.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","336","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","33","317952","0.0-20.0-12.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","480","","","","","","","1","0","0","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","34","319693","0.0-20.0-13.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","236","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","35","321566","0.0-20.0-14.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","367","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","36","323391","0.0-20.0-15.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","318","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","37","325121","0.0-20.0-16.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","222","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","bandit","38","326736","0.0-20.0-17.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","109","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","39","328510","0.0-20.0-18.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","268","","","","","","","0","0","1","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","40","330239","0.0-20.0-19.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","224","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice"
"","text","41","336323","0.0-21.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","6078","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","42","340337","0.0-22.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","2508","","","","","","","1","0","0","1","0","","","","","0","1","","","1","0","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","text","43","346627","0.0-23.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","6288","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","44","350274","0.0-24.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","3644","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","45","355426","0.0-25.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","5149","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","46","359716","0.0-26.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","4287","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","47","366290","0.0-27.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","6569","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","48","371204","0.0-28.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","4909","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","49","378243","0.0-29.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","7035","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","50","385907","0.0-30.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","7661","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","51","392386","0.0-31.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","6477","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","52","394323","0.0-32.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","1933","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","53","398019","0.0-33.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","3692","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","54","400113","0.0-34.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","585","","","","","","","1","0","0","0.8","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","55","402131","0.0-34.0-1.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","509","","","","","","","0","1","0","","0.8","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","56","403998","0.0-34.0-2.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","360","","","","","","","0","0","1","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","74","J","1","","true","0","full_practice"
"","bandit","57","405967","0.0-34.0-3.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","461","","","","","","","1","0","0","0.6","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","58","407839","0.0-34.0-4.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","367","","","","","","","0","0","1","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","59","409727","0.0-34.0-5.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","381","","","","","","","0","1","0","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","60","411583","0.0-34.0-6.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","348","","","","","","","0","0","1","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","74","J","1","","true","0","full_practice"
"","bandit","61","413341","0.0-34.0-7.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","254","","","","","","","0","1","0","","0.8","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","72","H","0","img/none_selected.jpg","true","0","full_practice"
"","bandit","62","415119","0.0-34.0-8.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","273","","","","","","","1","0","0","0.6","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","63","416913","0.0-34.0-9.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","287","","","","","","","0","1","0","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","64","418705","0.0-34.0-10.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","285","","","","","","","0","0","1","0.6","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","65","420320","0.0-34.0-11.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","108","","","","","","","1","0","0","0.2","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","66","422173","0.0-34.0-12.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","349","","","","","","","0","0","1","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","67","423985","0.0-34.0-13.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","304","","","","","","","0","0","1","0.2","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","68","425790","0.0-34.0-14.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","298","","","","","","","0","0","1","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","69","427438","0.0-34.0-15.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","143","","","","","","","0","1","0","","0.2","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","76","L","3","","true","0","full_practice"
"","bandit","70","429184","0.0-34.0-16.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","240","","","","","","","1","0","0","0.6","","0.5","0.5","0.5","0.5","","","","","0.8","0.2","0.6","0.2","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","71","430990","0.0-34.0-17.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","301","","","","","","","0","0","1","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","72","432863","0.0-34.0-18.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","367","","","","","","","0","0","1","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","bandit","73","434654","0.0-34.0-19.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","284","","","","","","","0","1","0","","0.6","0.5","0.5","0.5","0.5","0.8","0.2","0.6","0.2","","","","","","","","","","","","75","K","2","","true","0","full_practice"
"","text","74","438578","0.0-35.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","3915","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","75","450771","0.0-36.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","11189","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","76","470418","0.0-37.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","19644","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","77","505473","0.0-38.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","35052","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","78","511076","0.0-39.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","5598","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","79","516609","0.0-40.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","5530","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","80","519838","0.0-41.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","1722","","","","","","","1","0","0","0.3592836462","","0.8","0.4","0.2","0.6","","","","","0.3592836462","0.4269289603","0.02943109976","0.0798457429","","","","","","","","72","H","0","img/none_selected.jpg","","1","main_expt"
"","bandit","81","521663","0.0-42.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","317","","","","","","","1","0","0","0.3454903542","","0.8","0.4","0.2","0.6","","","","","0.3454903542","0.4660243271","0.06336112212","0.07621336767","","","","","","","","72","H","0","img/none_selected.jpg","","2","main_expt"
"","bandit","82","523488","0.0-43.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","315","","","","","","","1","0","0","0.2941512374","","0.8","0.4","0.2","0.6","","","","","0.2941512374","0.4738503749","0.07335687118","0.07476295528","","","","","","","","72","H","0","img/none_selected.jpg","","3","main_expt"
"","bandit","83","525410","0.0-44.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","410","","","","","","","0","0","1","0.2851241965","","0.8","0.4","0.2","0.6","","","","","0.2851241965","0.4618500418","0.06156305515","0.06526985361","","","","","","","","72","H","0","img/none_selected.jpg","","4","main_expt"
"","bandit","84","527182","0.0-45.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","266","","","","","","","0","0","1","0.3172925843","","0.8","0.4","0.2","0.6","","","","","0.3172925843","0.4488935273","0.08141194251","0.05487735528","","","","","","","","72","H","0","img/none_selected.jpg","","5","main_expt"
"","bandit","85","528974","0.0-46.0-0.0","83301126","wem/bandit_either_2","A331EA4IU21KXL","either","1","286","","","","","","","0","0","1","0.3319153021","","0.8","0.4","0.2","0.6","","","","","0.3319153021","0.4437832297","0.1104821702","0.04340015571","","","","","","","","72","H","0","img/none_selected.jpg","","6","main_expt"
