"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","24459","0.0-0.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","30631","0.0-1.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","5163","{""Q0"":""A1JV64BL3WCK0G""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","51369","0.0-2.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","19736","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","61665","0.0-3.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","10293","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","85825","0.0-4.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","24157","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","103987","0.0-5.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","18160","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","119456","0.0-6.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","15468","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","128522","0.0-7.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","9064","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","135043","0.0-8.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","6518","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","153203","0.0-9.0-0.0","48563759","wem/bandit_either_2","A1JV64BL3WCK0G","either","7","18135","","","","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
