"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","25858","0.0-0.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","30784","0.0-1.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","3919","{""Q0"":""A1N4AZ1QXPOPXH""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","40569","0.0-2.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","8781","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","80468","0.0-3.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","39893","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","89448","0.0-4.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","8974","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","97554","0.0-5.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","8102","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","114510","0.0-6.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","16955","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","119017","0.0-7.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","4507","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","122410","0.0-8.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","3389","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","135233","0.0-9.0-0.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","12807","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","10","139898","0.0-9.0-1.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","3654","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","11","146033","0.0-10.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","5134","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","148366","0.0-11.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","2331","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","149363","0.0-12.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","996","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","151529","0.0-13.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","2165","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","154365","0.0-14.0-0.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","1328","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
"","bandit","16","156944","0.0-15.0-0.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","1075","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0",""
"","text","17","159310","0.0-16.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","2364","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","177563","0.0-17.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","18252","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","181659","0.0-18.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","4094","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","183410","0.0-19.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","1750","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","185420","0.0-20.0-0.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","504","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","22","188495","0.0-20.0-1.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","1569","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
"","bandit","23","190566","0.0-20.0-2.0","16057133","wem/bandit_either_2","A1N4AZ1QXPOPXH","either","7","567","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice"
