"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","11193","0.0-0.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","14847","0.0-1.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","2639","{""Q0"":""A3S3NLZV7A06QN""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","21242","0.0-2.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","5388","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","28030","0.0-3.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","6784","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","51633","0.0-4.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","23598","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","69660","0.0-5.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","18019","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","92024","0.0-6.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","22353","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","104444","0.0-7.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","12412","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","111253","0.0-8.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","6805","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","118067","0.0-9.0-0.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","6772","","","","4","5","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","10","124548","0.0-9.0-1.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","5431","","","","4","5","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","11","132450","0.0-10.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","6892","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","134532","0.0-11.0","45823419","wem/bandit_either_2","A3S3NLZV7A06QN","either","6","2073","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
