"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","16922","0.0-0.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","20803","0.0-1.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","2875","{""Q0"":""A209H73TTW9F87""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","27455","0.0-2.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","5650","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","31695","0.0-3.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","4240","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","42709","0.0-4.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","11013","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","55096","0.0-5.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","12385","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","63781","0.0-6.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","8684","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","68878","0.0-7.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","5096","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","71172","0.0-8.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","2294","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","79215","0.0-9.0-0.0","87202182","wem/bandit_either_2","A209H73TTW9F87","either","1","8004","","","","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
