"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","10801","0.0-0.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","20410","0.0-1.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","8547","{""Q0"":""APO6KZZ79PO9Q""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","53752","0.0-2.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","32337","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","943566","0.0-3.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","889809","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","943588","0.0-4.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","15","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","953475","0.0-5.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","9885","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","1149356","0.0-6.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","195879","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","1158327","0.0-7.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","8969","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","1163011","0.0-8.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","4682","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","1171235","0.0-9.0-0.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","8170","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","10","1177609","0.0-9.0-1.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","5335","","","","5","5","5","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","11","1183547","0.0-10.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","4936","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","1186203","0.0-11.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","2654","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","1191198","0.0-12.0","05055147","wem/bandit_either_2","APO6KZZ79PO9Q","either","5","4992","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
