"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label"
"INL_behavioral_consent_30min_online.html","consent","0","10440","0.0-0.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","17062","0.0-1.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","5515","{""Q0"":""A38IMMFKB2JJQK""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","30489","0.0-2.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","12333","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","36946","0.0-3.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","6453","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","50226","0.0-4.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","13276","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","56526","0.0-5.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","6295","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","72643","0.0-6.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","16112","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","81182","0.0-7.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","8533","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","86799","0.0-8.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","5611","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","99202","0.0-9.0-0.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","12353","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","",""
"","identification","10","108113","0.0-9.0-1.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","7796","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","",""
"","text","11","113743","0.0-10.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","3803","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","118542","0.0-11.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","4793","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","122503","0.0-12.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","3956","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","126126","0.0-13.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","3618","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","131876","0.0-14.0-0.0","72291274","wem/bandit_either_2","A38IMMFKB2JJQK","either","8","4047","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0",""
