"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","button_pressed"
"INL_behavioral_consent_30min_online.html","consent","0","5799","0.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","9224","0.0-1.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","2421","{""Q0"":""A2CEUCPDECS6U3""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","21623","0.0-2.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","11396","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","24966","0.0-3.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","3342","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","29638","0.0-4.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4671","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","34959","0.0-5.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","5321","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","39286","0.0-6.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4326","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","43653","0.0-7.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4367","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","45599","0.0-8.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1944","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","50574","0.0-9.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4969","","","","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","","",""
"","identification","10","54987","0.0-9.0-1.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","3406","","","","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","","",""
"","text","11","59694","0.0-10.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","3655","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","61757","0.0-11.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","2063","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","62973","0.0-12.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1215","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","68150","0.0-13.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","5175","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","72468","0.0-14.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","2814","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","bandit","16","74683","0.0-15.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","712","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","",""
"","text","17","77470","0.0-16.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","2786","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","85639","0.0-17.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","8169","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","90846","0.0-18.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","5205","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","92382","0.0-19.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1535","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","94483","0.0-20.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","598","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","22","96500","0.0-20.0-1.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","513","","","","","","","1","0","0","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","23","98196","0.0-20.0-2.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","193","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","24","99851","0.0-20.0-3.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","152","","","","","","","0","1","0","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","25","101684","0.0-20.0-4.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","329","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","26","103293","0.0-20.0-5.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","96","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","27","104916","0.0-20.0-6.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","120","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","28","106523","0.0-20.0-7.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","103","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","29","108151","0.0-20.0-8.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","105","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","30","109739","0.0-20.0-9.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","85","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","31","111404","0.0-20.0-10.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","161","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","32","113027","0.0-20.0-11.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","120","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","33","114588","0.0-20.0-12.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","58","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","34","116204","0.0-20.0-13.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","112","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","35","117755","0.0-20.0-14.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","48","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","36","119509","0.0-20.0-15.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","251","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","37","121158","0.0-20.0-16.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","147","","","","","","","0","0","1","0.2","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","38","122708","0.0-20.0-17.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","46","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","39","124364","0.0-20.0-18.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","152","","","","","","","0","0","1","","0.2","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","75","K","1","","true","0","80_20_practice",""
"","bandit","40","126012","0.0-20.0-19.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","144","","","","","","","0","0","1","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","text","41","130215","0.0-21.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4202","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","42","133315","0.0-22.0-0.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1597","","","","","","","1","0","0","1","0","","","","","0","1","","","1","0","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","text","43","138171","0.0-23.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","4855","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","44","142070","0.0-24.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","3897","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","45","143158","0.0-25.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1087","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","46","144757","0.0-26.0","22919166","wem/bandit_either_3","A2CEUCPDECS6U3","either","4","1599","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
