"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","button_pressed"
"INL_behavioral_consent_30min_online.html","consent","0","38615","0.0-0.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","53988","0.0-1.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","14361","{""Q0"":""A320I54BHPIZKX""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","71410","0.0-2.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","16418","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","78907","0.0-3.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","7491","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","98693","0.0-4.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","19784","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","115066","0.0-5.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","16363","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","130377","0.0-6.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","15311","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","140599","0.0-7.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","10212","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","145225","0.0-8.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","4626","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","154224","0.0-9.0-0.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","8968","","","","3","4","4","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","","",""
"","identification","10","161520","0.0-9.0-1.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","6283","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","the village of Nyx","","","","","","","",""
"","text","11","167500","0.0-10.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","4980","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","12","171770","0.0-11.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","4260","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","13","174008","0.0-12.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","2238","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","14","178061","0.0-13.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","4053","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","15","182296","0.0-14.0-0.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","2720","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","",""
"","bandit","16","185321","0.0-15.0-0.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","1507","","","","","","","0","0","1","0","0","","","","","0","","","","0","","","","","","","","","","","75","K","0","img/none_selected_demo.jpg","true","0","",""
"","text","17","194171","0.0-16.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","8850","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","18","204637","0.0-17.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","10466","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","19","212532","0.0-18.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","7885","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","20","218025","0.0-19.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","5493","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","bandit","21","220355","0.0-20.0-0.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","810","","","","","","","0","1","0","","0.8","0.5","0.5","","","0.8","0.2","","","","","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
"","bandit","22","224638","0.0-20.0-1.0","78543396","wem/bandit_either_3","A320I54BHPIZKX","either","5","2776","","","","","","","1","0","0","0.8","","0.5","0.5","","","","","","","0.8","0.2","","","","","","","","","","74","J","0","img/none_selected_demo.jpg","true","0","80_20_practice",""
