"consent","trial_type","trial_index","time_elapsed","internal_node_id","subjID","study","MID","cond","drift","rt","responses","key_press","expt_phase","like","value","connected","gems","bombs","no_reward","GemPrChosen","BombPrChosen","GainOverPainPr_0","GainOverPainPr_1","GainOverPainPr_2","GainOverPainPr_3","LosePr_0","LosePr_1","LosePr_2","LosePr_3","WinPr_0","WinPr_1","WinPr_2","WinPr_3","Q0","Q1","Q2","gender","age","ethnicity","target","respCharCode","respKey","respChoiceNum","respChoice","practice","trial_counter","trial_label","button_pressed"
"INL_behavioral_consent_30min_online.html","consent","0","38550","0.0-0.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-text","1","43019","0.0-1.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","3461","{""Q0"":""A1UE95ET5RK1RI""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","2","48622","0.0-2.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","4597","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","3","70267","0.0-3.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","21645","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","4","175648","0.0-4.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","105380","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","5","196790","0.0-5.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","21141","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","6","202637","0.0-6.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","5846","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","7","207971","0.0-7.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","5333","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","text","8","212789","0.0-8.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","4817","","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","identification","9","220545","0.0-9.0-0.0","71174173","wem/bandit_either_3","A1UE95ET5RK1RI","either","3","7746","","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","the village of Zur","","","","","","","",""
